X	Y	orgHP	nowHP	MV	orgACT	nowACT	ATT	EV	HIT	CT	LV	EXP	TYPE	SPECIAL	MOVED	SKIN
P
6	10	100	100	5	7	7	35	60	110	0	1	0	2	4	0	1
7	9	150	150	4	6	6	30	20	90	90	1	0	0	2	0	0
7	10	130	130	4	7	7	40	40	110	60	1	0	1	1	0	0
7	11	120	120	4	5	5	35	45	120	50	1	0	1	5	0	0
8	10	110	110	5	8	8	30	30	100	0	1	0	2	3	0	1
E
3	1	70	70	4	5	5	20	0	80	20	1	0	0	0	0	0
4	2	60	60	5	5	5	15	0	80	20	1	0	0	0	0	1
5	1	70	70	4	5	5	20	0	80	20	1	0	0	0	0	0
18	1	80	80	4	5	5	25	10	85	25	1	0	0	0	0	0
19	0	70	70	5	5	5	20	15	80	20	1	0	1	0	0	1
19	2	70	70	5	5	5	20	15	80	20	1	0	1	0	0	1
15	6	110	110	5	5	5	30	20	85	0	1	0	2	0	0	1
15	8	110	110	5	5	5	30	20	85	0	1	0	2	0	0	1
16	7	150	150	4	7	7	40	40	100	50	3	0	1	8	0	0
12	15	100	100	3	5	5	25	10	80	0	1	0	2	0	0	2
13	15	90	90	5	5	5	20	20	85	30	1	0	1	0	0	1
14	15	100	100	3	5	5	25	10	80	0	1	0	2	0	0	2
17	13	100	100	4	5	5	30	15	85	40	1	0	1	0	0	0
18	12	100	100	4	5	5	30	15	85	40	1	0	1	0	0	0
19	11	100	100	4	5	5	30	15	85	40	1	0	1	0	0	0
24	17	120	120	5	6	6	35	25	90	0	2	0	2	7	0	1
26	15	120	120	5	6	6	35	25	90	0	2	0	2	8	0	1
25	16	300	300	8	9	9	45	60	120	0	5	0	3	6	0	3
